,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,Weekly,Video_id,publishedAt,Classification
63,64,,Terminei Mal Terminado (Ao Vivo),Henrique & Juliano,3,2061803,,https://www.youtube.com/watch?v=ymFBETNZ8e4,2022-03-24,ymFBETNZ8e4,2022-02-18 15:00:11,Frontline
64,65,66.0,LEILÃO,Gloria Groove,17,2055592,-4.9%,https://www.youtube.com/watch?v=X7cz9v6mHzg,2022-03-24,X7cz9v6mHzg,2021-11-26 14:00:23,Frontline
65,66,71.0,Saudade e Solidão (En Vivo),Vitor Fernandes,13,2052361,0.3%,https://www.youtube.com/watch?v=SNbURUnTYCM,2022-03-24,SNbURUnTYCM,2021-12-23 21:00:12,Frontline
66,67,45.0,50 por Cento,Naiara Azevedo & Marília Mendonça,3,2046086,-29.9%,https://www.youtube.com/watch?v=zhaTkKdovgM,2022-03-24,zhaTkKdovgM,2022-03-04 00:00:13,Frontline
67,68,,Simplesmente Ela,Mc Gabzin,1,2015518,,https://www.youtube.com/watch?v=K6iRoT8u2xU,2022-03-24,K6iRoT8u2xU,2022-02-11 15:00:14,Frontline
68,69,57.0,Surface Pressure,Jessica Darrow,5,2010375,-18%,https://www.youtube.com/watch?v=tQwVKr8rCYw,2022-03-24,tQwVKr8rCYw,2021-12-24 05:00:21,Frontline
69,70,64.0,Unstoppable,Sia,8,1997825,-7.9%,https://www.youtube.com/watch?v=YaEG2aWJnZ8,2022-03-24,YaEG2aWJnZ8,2021-09-27 20:55:30,Frontline
70,71,72.0,Cruzeiro da Revoada,Hungria Hip-Hop & MC Ryan SP,15,1990035,2%,https://www.youtube.com/watch?v=kezf4Fo7B9M,2022-03-24,kezf4Fo7B9M,2021-12-02 14:00:10,Frontline
71,72,70.0,Coração Gelado 3,"MC Ryan SP, MC Letto, Mc IG, MC Joãozinho VT, DJ BOY, Mc Kako, MC Leozinho ZS & MC V7",14,1977505,-4.7%,https://www.youtube.com/watch?v=2PkxaVyVLpE,2022-03-24,2PkxaVyVLpE,2021-12-17 21:00:12,Frontline
72,73,75.0,Chá De Casa Nova (Ao Vivo),Henrique & Juliano,15,1933589,0.8%,https://www.youtube.com/watch?v=9Et53l5l-FE,2022-03-24,9Et53l5l-FE,2021-12-10 15:00:12,Frontline
73,74,65.0,Outro Patamar,Hungria Hip-Hop & Mc Lipi ,2,1889031,-12.8%,https://www.youtube.com/watch?v=IbJRLeenTSQ,2022-03-24,IbJRLeenTSQ,2022-03-11 14:00:04,Frontline
74,75,,Gatilho (Ao Vivo),Matheus & Kauan,1,1885213,,https://www.youtube.com/watch?v=p0zuRoa2BH4,2022-03-24,p0zuRoa2BH4,2022-03-18 14:00:21,Frontline
75,76,68.0,Idiota (Ao Vivo),Jão,10,1860631,-11.8%,https://www.youtube.com/watch?v=r2gppKSvBLE,2022-03-24,r2gppKSvBLE,2021-10-29 15:00:03,Frontline
76,77,,Vai Derramando (Ao Vivo),Henrique & Juliano,1,1816089,,https://www.youtube.com/watch?v=ZOdwBgtKv60,2022-03-24,ZOdwBgtKv60,2022-03-19 15:00:15,Frontline
77,78,77.0,Sem Dó,Matuê & L7NNON,12,1812615,-0.8%,https://www.youtube.com/watch?v=G-zyOLsfEBQ,2022-03-24,G-zyOLsfEBQ,2021-12-31 00:08:22,Frontline
78,79,46.0,Batendo o Dente (Ao Vivo),Zé Neto & Cristiano,2,1806662,-37.9%,https://www.youtube.com/watch?v=6vazqxfLpWc,2022-03-24,6vazqxfLpWc,2022-03-11 14:00:11,Frontline
79,80,79.0,Passando o Rodo (feat. Lara Silva),"POCAH, MC Mirella & Tainá Costa",16,1799646,0.9%,https://www.youtube.com/watch?v=IEDv84S-gqw,2022-03-24,IEDv84S-gqw,2021-12-04 21:00:03,Frontline
